0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
0 0 0 25 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0
0 0 0 0 30 34 0 35 8 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0
25 0 0 0 0 0 84 0 0 0 46 0 0 0 0 0 0 0 0 0
0 30 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 34 9 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 84 0 0 0 0 0 0 34 0 0 0 29 0 0 24 0 0
0 35 0 0 0 0 0 0 0 87 0 0 37 0 0 0 0 0 0 0
0 8 0 0 0 0 0 0 0 0 0 0 21 42 0 0 0 0 0 0
0 0 0 0 0 0 0 87 0 0 0 69 37 0 21 0 48 19 0 0
0 0 0 46 0 0 34 0 0 0 0 0 0 0 0 60 0 0 0 0
0 0 0 0 0 0 0 0 0 69 0 0 0 0 0 0 0 0 0 35
0 0 0 0 0 0 0 37 21 37 0 0 0 42 0 0 28 0 0 0
0 0 0 0 0 0 0 0 42 0 0 0 42 0 0 0 0 0 0 20
0 0 0 0 0 0 29 0 0 21 0 0 0 0 0 0 0 0 27 0
47 0 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 48 0 0 28 0 0 0 0 0 0 0
0 0 0 0 0 0 24 0 0 19 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 35 0 20 0 0 0 0 0 0
